first_column,Joseph Biden,Donald Trump,Jo Jorgensen
Alameda,548073,115771,5139
Contra Costa,363370,125703,4734
Marin,112921,20505,1198
Napa,46962,19388,844
San Francisco,375630,55988,3261
San Mateo,264762,67750,3027
Santa Clara,560440,191277,8030
Solano,127544,66943,2380
